area;acertos;min;max;media;ano
CN;20;466,6;663,9;624,45;2017
CN;21;476,9;672,4;633,39;2017
CN;22;526,8;678,8;641,49;2017
CN;23;567,9;685,3;649,33;2017
CN;24;575,8;692,3;656,98;2017
CN;25;610,8;700,1;664,32;2017
CN;26;619,5;705,1;671,53;2017
CN;27;618,5;715,2;678,82;2017
CN;28;634,2;719,7;685,85;2017
CN;29;645,6;726,8;693,08;2017
CN;30;655,6;736;700,57;2017
CN;31;671,5;739,5;707,74;2017
CN;32;678,9;743,2;715,52;2017
CN;33;676,0;755,3;722,8;2017
CN;34;693,5;768,6;731,21;2017
CN;35;702,5;772,1;739,27;2017
CN;36;712,0;780,6;747,93;2017
CN;37;719,1;796,3;756,96;2017
CN;38;734,6;796,2;766,19;2017
CN;39;738,9;806,3;776,35;2017
CN;40;762,2;816,2;787,39;2017
CN;41;773,4;829,5;802,18;2017
CN;42;778,1;852,1;817,9;2017
CN;43;813,0;853;837,87;2017
CN;44;839,7;868,3;851,39;2017
CN;45;885,6;885,6;885,6;2017
LC;0;299,6;301,5;300,37;2017
LC;1;299,6;337;307,11;2017
LC;2;299,6;372,1;319,59;2017
LC;3;300,0;399,9;330,98;2017
LC;4;300,0;422,2;343,17;2017
LC;5;300,3;434,2;355,28;2017
LC;6;300,6;450,3;368,02;2017
LC;7;302,3;461,1;381,69;2017
LC;8;303,2;473,6;395,56;2017
LC;9;302,2;480,4;409,65;2017
LC;10;306,3;487,7;423,76;2017
LC;11;307,4;494;437,26;2017
LC;12;311,6;502,2;450,29;2017
LC;13;316,6;509,9;462,69;2017
LC;14;321,7;517;474,33;2017
LC;15;326,4;664,8;485,17;2017
LC;16;340,4;535,5;495,36;2017
LC;17;336,2;543,9;505;2017
LC;18;347,0;552,3;514,09;2017
LC;19;415,2;562;522,75;2017
LC;20;424,3;566,8;530,89;2017
LC;21;459,7;574,4;538,69;2017
LC;22;474,9;579,5;546,21;2017
LC;23;486,4;587;553,4;2017
LC;24;508,0;594;560,47;2017
LC;25;525,8;600,6;567,37;2017
LC;26;525,5;608;574,24;2017
LC;27;536,4;613,8;581,08;2017
LC;28;549,1;619,9;587,92;2017
LC;29;554,3;625,5;594,87;2017
LC;30;559,7;633,3;601,94;2017
LC;31;569,9;643,3;609,12;2017
LC;32;575,7;648,5;616,51;2017
LC;33;584,9;661,2;624,21;2017
LC;34;589,6;666,1;632,26;2017
LC;35;598,4;672,9;640,58;2017
LC;36;603,9;687,1;649,27;2017
LC;37;615,2;697,4;658,68;2017
LC;38;624,1;710,4;669,08;2017
LC;39;637,6;719,7;679,92;2017
LC;40;648,5;736,6;692,53;2017
LC;41;658,2;753,5;706,39;2017
LC;42;685,4;768,3;722,32;2017
LC;43;714,8;779,3;750,71;2017
LC;44;741,4;788,8;769,7;2017
MT;0;350,1;350,1;350,1;2017
MT;1;350,1;395,7;358,62;2017
MT;2;350,1;440,9;365,98;2017
MT;3;350,1;465,5;375,28;2017
MT;4;350,3;493,6;385,11;2017
MT;5;350,8;515,7;396,45;2017
MT;6;351,0;543,9;408,85;2017
MT;7;352,1;570;423,04;2017
MT;8;352,1;585,3;438,63;2017
MT;9;353,9;602,7;456,26;2017
MT;10;354,9;619,9;475,84;2017
MT;11;358,5;634,5;497,18;2017
MT;12;361,3;655;520,48;2017
MT;13;361,8;671,7;544,77;2017
MT;14;367,8;689,7;569,68;2017
MT;15;375,7;706,3;594,61;2017
MT;16;373,5;724,5;618,54;2017
MT;17;391,1;729,8;641,05;2017
MT;18;403,3;740,8;661,91;2017
